task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	4e/c83c84	7200	DEMUX (Demultiplexing...)	CACHED	0	2022-06-02 16:37:30.015	18.4s	18.3s	-	-	-	-	-
3	37/2f3482	7220	qc_pre (Running FastQC...)	CACHED	0	2022-06-02 16:37:30.023	9.1s	9.1s	-	-	-	-	-
5	06/54d4bc	7142	DEMUX (Demultiplexing...)	CACHED	0	2022-06-02 16:37:29.971	18.7s	18.7s	-	-	-	-	-
1	7c/dbc678	7157	DOWNLOADREF (Sourcing the reference...)	CACHED	0	2022-06-02 16:37:29.988	6m 31s	6m 31s	-	-	-	-	-
4	83/c0a838	7191	qc_pre (Running FastQC...)	CACHED	0	2022-06-02 16:37:30.006	8.1s	8.1s	-	-	-	-	-
6	59/69ab59	30731	BT2BUILD (Bowtie2 build...)	CACHED	0	2022-06-03 15:29:50.466	8.2s	8.1s	-	-	-	-	-
12	d4/bbd6a0	7566	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.713	1.8s	1.8s	-	-	-	-	-
14	a9/a623f7	7581	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.720	770ms	726ms	-	-	-	-	-
7	49/3b0a61	7632	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.751	1.5s	1.4s	-	-	-	-	-
8	dd/8bb606	7618	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.741	960ms	924ms	-	-	-	-	-
10	0a/39513c	7556	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.692	578ms	511ms	-	-	-	-	-
11	a4/42d95e	8061	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:49.500	1.6s	1.5s	-	-	-	-	-
9	59/12ef7f	7594	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.733	767ms	732ms	-	-	-	-	-
13	50/425deb	7972	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:49.285	1.4s	1.3s	-	-	-	-	-
24	e4/55aec3	14113	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:42:39.243	5.2s	5.1s	-	-	-	-	-
32	a7/b31f14	9193	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:37:52.305	4m 23s	4m 23s	-	-	-	-	-
29	ea/172ebc	8667	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:50.973	1.2s	1.1s	-	-	-	-	-
28	34/ea986b	10358	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:38:06.424	6s	5.9s	-	-	-	-	-
23	bc/54f350	8462	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:50.542	1.4s	1.4s	-	-	-	-	-
25	ac/d1105e	8200	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:49.711	1.1s	990ms	-	-	-	-	-
31	41/b0f090	12499	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:42:15.634	5s	4.9s	-	-	-	-	-
20	a9/800a32	8075	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:49.532	1.4s	1.4s	-	-	-	-	-
21	68/c39f4a	9079	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:37:51.994	8.3s	8.2s	-	-	-	-	-
33	6b/a4049a	9822	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:37:59.376	4m 42s	4m 42s	-	-	-	-	-
17	70/f7ade9	8569	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:50.797	1.6s	1.5s	-	-	-	-	-
